Time_from_start, RA, dec, DM, SNR, DM_corr, SNR_corr, “ı1000_ , S_o, S_o50
30765.3, 15.84, -8.94, 25.73, 6.14, 25.73, 12, 36, 42.4, 21.2
21003.7, 3.12, -8.27, 26.73, 6.03, 26.744, 12, 25, 28.9, 14.4
2112.21, 22.27, 4.03, 16.72, 6.2, 16.722, 12, 34, 29.7, 14.9
45632.7, 20.3, 4.2, 18.87, 6.19, 18.866, 12, 56, 48.8, 24.4
36656.1, 7.93, 7.22, 15.49, 6.23, 15.484, 12, 29, 24, 12
30786.6, 19.47, 16.57, 22.89, 5.7, 22.89, 12, 104, 75.7, 37.9
34406.7, 20.47, 16.57, 19.53, 6.04, 19.536, 12, 64, 46.6, 23.3
10867.2, 21.39, 21.36, 21.06, 6.32, 21.056, 12, 59, 40.9, 20.4
16960.2, 23.14, 21.8, 13.03, 6.17, 13.022, 12, 40, 27.6, 13.8
2613.48, 19.16, 22.24, 12.65, 6.11, 12.65, 12, 78, 53.6, 26.8
3947.89, 19.68, 23.49, 9.37, 6.21, 9.368, 12, 94, 63.8, 31.9
68.1416, 18.6, 24.79, 26.45, 6.11, 26.452, 12, 75, 50.4, 25.2
24738, 13.21, 26.89, 14.53, 6.43, 14.532, 12, 38, 25.1, 12.6
6331.61, 20.39, 28.14, 26, 6.19, 26, 12, 76, 49.8, 24.9
42322.1, 6.72, 35.31, 7.24, 6.16, 7.24, 12, 48, 30.2, 15.1
84.7599, 6.53, 42.35, 4.81, 6.08, 4.81, 12, 46, 28.2, 14.1
18270.2, 15.64, 54.3, 8.81, 6.31, 8.808, 12, 35, 21.3, 10.7
2544.77, 12.4, 56.61, 17.1, 6.33, 17.1, 12, 28, 17.1, 8.6
33133.5, 4.03, 70.68, 7.26, 6.1, 7.26, 12, 62, 40.3, 20.1
41687.3, 21.43, 10.31, 1.54, 6.21, 1.54, 12.1, 47, 37.4, 18.7
6284.92, 20.38, 27.3, 12.48, 6.01, 12.48, 12.1, 77, 51.1, 25.6
18543.1, 0.41, 69.48, 12.58, 6.04, 12.578, 12.1, 71, 46.2, 23.1
3473.66, 10.81, -8.78, 5.65, 6.5, 5.65, 12.2, 24, 28.6, 14.3
23728.7, 13.28, 20.55, 24.31, 6.48, 24.31, 12.2, 37, 26.3, 13.1
20140.1, 12.28, 20.11, 13.91, 6.09, 13.912, 12.3, 31, 22.3, 11.1
10121.5, 9.31, 41.96, 14.82, 5.99, 14.822, 12.3, 25, 15.7, 7.9
20816.5, 12.35, 43.54, 20.77, 6.18, 20.776, 12.3, 29, 18.2, 9.1
4905.24, 11.99, 55.42, 6.33, 6.29, 6.33, 12.3, 28, 17.5, 8.8
20973.5, 3.58, 6.68, 22.64, 6.47, 22.64, 12.5, 32, 27.8, 13.9
29461.6, 5.93, 8.27, 4.97, 6.04, 4.97, 12.5, 44, 37.3, 18.7
16273.4, 11.21, 20.11, 14.53, 6.06, 14.528, 12.5, 31, 22.6, 11.3
36717, 4.57, 20.91, 12.39, 6.06, 12.388, 12.5, 45, 32.6, 16.3
18813.3, 12.65, 67.94, 3.68, 6.01, 3.68, 12.5, 32, 21.3, 10.6
15192.4, 23.48, 68.23, 15.57, 6.15, 15.564, 12.5, 75, 50, 25
18967.2, 13.42, 74.14, 12.82, 6.17, 12.818, 12.5, 33, 22.9, 11.4
28883, 2.98, 35.72, 5.65, 6.01, 5.644, 12.9, 44, 29.7, 14.8
42378.6, 9, -12.04, 11.32, 6.1, 11.308, 13, 21, 29.5, 14.7
24653.1, 4.2, -3.53, 19.59, 6.12, 19.59, 13, 27, 29.9, 15
39676.8, 21.93, 17.5, 10.78, 6.06, 10.78, 13, 43, 33.6, 16.8
4511.98, 7.94, 18.75, 9.42, 6.39, 9.422, 13, 34, 26.2, 13.1
14410.9, 14.63, 55.82, 10.12, 6.53, 10.124, 13, 33, 21.8, 10.9
35824.7, 4.58, 28.14, 25.7, 6.02, 25.7, 13.1, 47, 33.6, 16.8
28565.5, 14.44, 42.35, 13.09, 6.01, 13.094, 13.1, 32, 21.4, 10.7
9141.73, 20.91, 21.36, 5.55, 6.34, 5.53, 13.2, 61, 46.5, 23.2
3539.8, 22.34, -2.88, 22.23, 6.06, 22.232, 13.3, 30, 33.5, 16.7
40698.8, 22.22, 16.57, 17.58, 6.02, 17.588, 13.3, 45, 36.3, 18.2
41473.1, 18.82, -10.47, 21.8, 6.15, 21.798, 13.5, 104, 144.3, 72.1
2575.91, 8.08, -6.15, 17.7, 6.67, 17.7, 13.5, 26, 31.9, 16
4647.5, 23.17, 12.25, 12.91, 6.55, 12.916, 13.5, 42, 36.3, 18.2
882.901, 6.58, 26.47, 6.82, 6.06, 6.82, 13.5, 50, 37.3, 18.6
11600.7, 9.79, 43.54, 9.42, 6.74, 9.422, 13.5, 23, 15.8, 7.9
28022.1, 5.14, -3.53, 4.7, 6.18, 4.7, 13.7, 31, 36.2, 18.1
30884.4, 15.38, 39.64, 19.35, 6.34, 19.344, 13.7, 35, 24.7, 12.3
18100.7, 12.32, -8.94, 11.02, 6.16, 11.02, 13.8, 30, 40.6, 20.3
35087.6, 7.23, 0.14, 5.88, 6.23, 5.88, 13.8, 38, 41.2, 20.6
18925.8, 2.48, -8.9, 9.81, 6.15, 9.808, 14, 28, 38.4, 19.2
6673.23, 23.54, 6.22, 12.83, 6.07, 12.828, 14, 36, 35.4, 17.7
41886.4, 22.55, 17.96, 10.63, 6.28, 10.638, 14, 43, 36, 18
8046.8, 20.6, 20.46, 11.08, 6.01, 11.078, 14, 66, 53.8, 26.9
26444.8, 14.03, 20.55, 25.7, 6.5, 25.7, 14, 43, 35, 17.5
24016.4, 13.24, 44.72, 18.66, 6.18, 18.66, 14, 31, 22.1, 11
35706.5, 7.14, -12.04, 20.84, 6.23, 20.832, 14.5, 35, 54.8, 27.4
26966.4, 1.92, 23.12, 11.07, 6.05, 11.074, 14.5, 41, 33.8, 16.9
33453.1, 3.63, 39.62, 7.03, 6.15, 7.03, 14.6, 48, 36.1, 18
30445.5, 15.88, 66.71, 8.76, 6.18, 8.748, 14.8, 38, 29.7, 14.9
45445.1, 10.11, 0.74, 22.92, 6.42, 22.924, 15, 22, 25.6, 12.8
21499.7, 0.4, 21.8, 15.87, 6.08, 15.866, 15, 36, 31, 15.5
45469.6, 9.85, -12.04, 13.37, 6.09, 13.37, 15.2, 22, 36.1, 18.1
37959.1, 17.96, 67.94, 19.69, 6.12, 19.688, 15.5, 45, 37.1, 18.6
23313.9, 14.63, 74.14, 4.91, 6.13, 4.906, 15.5, 34, 29.2, 14.6
3853.11, 22.82, 7.74, 18.16, 6.13, 18.16, 16, 38, 41.6, 20.8
10854.9, 1.03, 18.28, 13.73, 6.15, 13.734, 16, 37, 35.2, 17.6
36640.7, 16.75, 44.32, 5.81, 6.44, 5.812, 16, 36, 29.3, 14.7
9026.31, 11.61, 70.34, 12.81, 6.92, 12.808, 16, 33, 28.5, 14.3
20667.8, 3.49, 6.68, 8.17, 6.14, 8.168, 16.5, 32, 36.8, 18.4
31144.9, 3.08, 22.24, 15.33, 6.79, 15.33, 16.5, 41, 38.7, 19.4
18336.9, 23.92, 32.17, 23.27, 6.18, 23.26, 16.5, 44, 38.6, 19.3
1962.94, 22.36, 10.25, 13.95, 6.51, 13.958, 16.7, 61, 67.1, 33.6
21060.3, 12.71, 41.97, 11.35, 6.25, 11.354, 17, 29, 25.2, 12.6
456.25, 7.55, 67.12, 28.62, 6.05, 28.618, 17, 39, 35.1, 17.6
44050.9, 6.6, 20.46, 9.51, 6.18, 9.51, 17.2, 55, 55.1, 27.5
42802.1, 9.25, -2.24, 12.37, 6.05, 12.372, 18, 22, 32.8, 16.4
2052.84, 11.48, 16.57, 5.45, 6.06, 5.448, 18, 31, 33.9, 16.9
44948.3, 10.17, 5.68, 17.38, 6.05, 17.394, 18.5, 24, 31.4, 15.7
12597, 21.93, 22.24, 17.61, 6.15, 17.61, 18.5, 49, 51.9, 25.9
40417.1, 8.58, -3.53, 15.85, 6.06, 15.85, 19, 24, 38.9, 19.4
29099.9, 18.64, 53.12, 26.8, 7.7, 26.806, 20.5, 50, 52, 26
13201.8, 22.03, 20.91, 11, 6.15, 11, 23.5, 48, 65.4, 32.7
28653.6, 5.71, 8.79, 15.76, 6.01, 15.756, 25, 39, 65.6, 32.8
